,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
66,Nate Lashley,"4,188",60,"4,188","35,529","35,529",120,521,521,829,734,734,"1,080",-0.30,11.764,11.764,.014,.014,.171,.035,21.710,21.710,9.944,11.764,218,218,346,393,19,0,1,"2,449",,,,,,2017
67,Aaron Rai,"4,273",65,"4,273","35,907","35,907",122,561,561,845,756,756,"1,098",-0.27,-6.976,-6.976,.185,.185,.348,-.028,15.760,15.760,22.737,-6.976,214,214,342,380,20,0,2,"2,462",,,,,,2017
68,Justin Rose,"2,388",41,"2,388","20,354","20,354",68,305,305,475,412,412,612,-0.31,9.476,9.476,.098,.098,.052,-.141,9.693,9.693,.216,9.476,124,124,200,308,12,0,1,"2,534",,,,,,2017
69,Alex Smalley,"4,287",63,"4,287","37,254","37,254",122,518,518,843,758,758,"1,098",-0.27,-9.113,-9.113,.316,.316,.071,-.198,-.266,-.266,8.847,-9.113,205,205,340,429,20,0,2,"2,413",,,,1,,2017
70,Jason Kokrak,"3,366",51,"3,366","29,719","29,719",96,417,417,670,564,564,864,-0.32,16.028,16.028,.044,.044,.085,-.084,18.012,18.012,1.983,16.028,184,184,300,784,14,1,1,"2,058",,1,1,,,2017
71,Sebastián Muñoz,"3,859",58,"3,859","30,956","30,956",102,471,471,760,669,669,990,-0.29,-12.313,-12.313,.288,.288,.260,.100,18.192,18.192,30.505,-12.313,191,191,321,692,17,0,3,"2,150",,,,,2,2017
72,Brendon Todd,"4,008",61,"4,008","29,303","29,303",106,545,545,787,660,660,"1,026",-0.27,29.297,29.297,-.437,-.437,-.049,.192,16.367,16.367,-12.931,29.297,239,239,366,318,18,0,1,"2,524",,,,,,2017
73,Taylor Pendrith,"3,585",51,"3,585","32,040","32,040",102,396,396,711,640,640,918,-0.26,-3.138,-3.138,.466,.466,-.147,-.012,8.841,8.841,11.979,-3.138,165,165,278,336,15,0,1,"2,506",,,,,,2017
74,Rickie Fowler,"3,183",45,"3,183","25,519","25,519",82,361,361,626,513,513,810,-0.30,-8.838,-8.838,-.083,-.083,.245,.294,6.683,6.683,15.524,-8.838,167,167,297,291,14,0,1,"2,551",,,,,1,2017
75,Rory Sabbatini,"2,451",35,"2,451","19,978","19,978",70,311,311,490,406,406,630,-0.30,10.149,10.149,-.114,-.114,-.259,.566,15.947,15.947,5.798,10.149,142,142,224,221,12,0,1,"2,621",,,,,1,2017
76,Ryan Palmer,"3,173",49,"3,173","25,180","25,180",82,346,346,621,556,556,810,-0.26,-14.161,-14.161,.491,.491,.252,.096,12.664,12.664,26.825,-14.161,139,139,254,310,15,0,1,"2,532",,,,,,2017
77,Tony Finau,"3,371",51,"3,371","29,046","29,046",96,384,384,670,594,594,864,-0.29,-14.914,-14.914,.473,.473,.490,.064,23.094,23.094,38.010,-14.914,161,161,270,412,15,0,1,"2,430",,,,1,,2017
78,Scott Stallings,"4,361",64,"4,361","37,617","37,617",124,461,461,857,717,717,"1,116",-0.30,18.534,18.534,-.095,-.095,-.018,.043,15.005,15.005,-3.531,18.534,248,248,399,420,21,0,2,"2,422",,,,,,2017
79,Martin Laird,"2,964",44,"2,964","25,059","25,059",84,394,394,584,514,514,756,-0.24,-17.382,-17.382,.223,.223,.355,.105,7.862,7.862,25.244,-17.382,155,155,242,214,14,0,,"2,628",,,,,,2017
80,Patrick Rodgers,"3,875",59,"3,875","33,945","33,945",110,380,380,765,685,685,990,-0.27,14.749,14.749,.075,.075,.041,.019,20.280,20.280,5.532,14.749,185,185,305,377,18,0,3,"2,465",,,,,,2017
81,J.T. Poston,"3,520",52,"3,520","29,811","29,811",100,425,425,694,586,586,900,-0.27,-.454,-.454,.369,.369,-.273,.100,8.158,8.158,8.612,-.454,205,205,314,284,19,0,2,"2,558",,,,,1,2017
82,Dustin Johnson,"2,111",37,"2,111","18,767","18,767",60,229,229,416,358,358,540,-0.32,-5.499,-5.499,.337,.337,.532,-.123,13.154,13.154,18.653,-5.499,107,107,182,350,10,0,2,"2,492",,,,,,2017
83,James Hahn,"3,170",49,"3,170","24,604","24,604",82,384,384,620,527,527,810,-0.26,-16.164,-16.164,.306,.306,.062,.167,2.054,2.054,18.219,-16.164,182,182,283,239,17,0,2,"2,603",,,,,,2017
84,Matt Jones,"3,862",55,"3,862","31,415","31,415",102,412,412,765,647,647,990,-0.30,-17.031,-17.031,.249,.249,-.078,.556,15.679,15.679,32.712,-17.031,207,207,343,592,18,0,2,"2,250",,,,1,1,2017
85,Luke Donald,"3,167",45,"3,167","25,623","25,623",90,374,374,623,536,536,810,-0.27,-2.455,-2.455,-.828,-.828,.691,.276,1.980,1.980,4.435,-2.455,171,171,274,139,15,0,,"2,703",,,,,,2017
86,Abraham Ancer,"3,363",53,"3,363","28,263","28,263",96,472,472,670,575,575,864,-0.31,9.156,9.156,.355,.355,.055,-.530,4.406,4.406,-4.749,9.156,178,178,289,414,15,0,3,"2,428",,,,,,2017
87,Kramer Hickok,"4,313",61,"4,313","33,572","33,572",114,546,546,840,722,722,"1,098",-0.27,1.011,1.011,.171,.171,-.043,-.349,-8.727,-8.727,-9.738,1.011,218,218,376,281,21,0,1,"2,561",,,,,,2017
88,Si Woo Kim,"4,848",72,"4,848","39,076","39,076",130,617,617,966,813,813,"1,242",-0.30,-17.732,-17.732,.366,.366,.045,.162,15.497,15.497,33.229,-17.732,266,266,429,580,20,0,1,"2,262",,,,,,2017
89,Anirban Lahiri,"3,962",56,"3,962","33,207","33,207",112,479,479,778,647,647,"1,008",-0.27,-1.170,-1.170,.390,.390,-.341,.238,12.001,12.001,13.172,-1.170,218,218,361,561,18,0,2,"2,281",,,,1,,2017
90,Andrew Putnam,"4,217",60,"4,217","31,856","31,856",112,515,515,827,723,723,"1,080",-0.27,2.012,2.012,-.289,-.289,.096,.189,1.800,1.800,-.214,2.012,230,230,357,311,20,0,1,"2,531",,,,,,2017
91,Chase Seiffert,"2,333",37,"2,333","18,873","18,873",66,289,289,459,384,384,594,-0.26,-6.169,-6.169,-.267,-.267,.274,.077,-4.570,-4.570,1.600,-6.169,128,128,210,134,11,0,,"2,708",,,,,,2017
92,Bubba Watson,"1,571",29,"1,571","13,247","13,247",44,191,191,306,251,251,396,-0.29,-3.715,-3.715,.277,.277,.040,.152,4.737,4.737,8.452,-3.715,78,78,145,199,9,0,1,"2,643",,,,,,2017
